U,v
9.88130107099024,12.03519274376471
9.89130107099024,12.033743293390877
9.90130107099024,12.032434818801086
9.91130107099024,12.031220066632107
9.92130107099024,12.030082208328336
9.93130107099024,12.029011535513225
9.94130107099024,12.028001509660136
9.95130107099024,12.027047339556926
9.96130107099024,12.026145319954125
9.97130107099024,12.025292475570406
9.98130107099024,12.024486349880778
9.99130107099024,12.023724870720047
10.00130107099024,12.023006260109941
10.011301070990239,12.022328971185493
10.02130107099024,12.021691642567632
10.03130107099024,12.021093064427214
10.04130107099024,12.020532152649166
10.05130107099024,12.020007928768468
10.06130107099024,12.019519504119035
10.07130107099024,12.019066067122216
10.08130107099024,12.018646872958122
10.09130107099024,12.018261235074648
10.10130107099024,12.01790851813413
10.11130107099024,12.017588132099192
10.12130107099024,12.017299527231659
10.13130107099024,12.01704218983103
10.14130107099024,12.016815638577606
10.15130107099024,12.016619421374347
10.161301070990241,12.016453112603282
10.171301070990241,12.016316310729087
10.18130107099024,12.016208636195364
10.19130107099024,12.016129729569219
10.20130107099024,12.016079249897697
10.21130107099024,12.016056873246008
10.22130107099024,12.01606229139248
10.23130107099024,12.0160952106593
10.24130107099024,12.016155350861407
10.251301070990241,12.01624244435866
10.26130107099024,12.016356235198561
10.271301070990239,12.016496478338746
10.28130107099024,12.016662938939955
10.29130107099024,12.016855391721467
10.30130107099024,12.0170736203721
10.31130107099024,12.017317417010776
10.32130107099024,12.017586581691406
10.33130107099024,12.017880921947533
10.34130107099024,12.018200252372743
10.35130107099024,12.01854439423328
10.36130107099024,12.018913175109791
10.37130107099024,12.019306428565438
10.38130107099024,12.019723993837923
10.39130107099024,12.020165715553295
10.40130107099024,12.02063144345955
10.411301070990241,12.021121032178346
10.42130107099024,12.021634340973261
10.43130107099024,12.022171233533205
10.441301070990239,12.022731577769747
10.45130107099024,12.023315245627217
10.46130107099024,12.023922112904588
10.471301070990242,12.02455205908819
10.481301070990241,12.025204967194458
10.49130107099024,12.025880723621915
10.501301070990241,12.02657921801175
10.511301070990239,12.02730034311632
10.52130107099024,12.028043994675038
10.53130107099024,12.028810071297103
10.54130107099024,12.029598474350617
10.55130107099024,12.030409107857624
10.56130107099024,12.031241878394683
10.571301070990241,12.032096694998627
10.581301070990241,12.032973469077122
10.59130107099024,12.033872114323762
10.60130107099024,12.034792546637378
10.61130107099024,12.035734684045318
10.62130107099024,12.036698446630423
10.63130107099024,12.037683756461517
10.641301070990243,12.03869053752715
10.65130107099024,12.03971871567244
10.661301070990241,12.040768218538801
10.671301070990241,12.041838975506415
10.681301070990239,12.042930917639273
10.691301070990242,12.044043977632647
10.70130107099024,12.04517808976285
10.71130107099024,12.046333189839176
10.721301070990238,12.047509215157875
10.73130107099024,12.048706104458077
10.741301070990241,12.049923797879543
10.751301070990241,12.051162236922156
10.76130107099024,12.052421364407069
